0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,2701
15,3848
16,5261
17,7113
18,7517
19,8263
20,9567
21,12764
22,19628
23,32771
24,48962
25,57958
26,51500
27,37131
28,23560
29,15396
30,11324
31,10839
32,11788
33,13680
34,15103
35,15943
36,15691
37,14395
38,13138
39,12288
40,12755
41,14214
42,17031
43,22104
44,29001
45,40920
46,54876
47,72688
48,82574
49,87517
50,79375
51,61938
52,41811
53,25295
54,14570
55,10099
56,8088
57,7870
58,7536
59,7922
60,7805
61,8178
62,8220
63,8253
64,8596
65,8841
66,8667
67,8864
68,9028
69,9425
70,9579
71,10191
72,10194
73,10746
74,11096
75,11750
76,12207
77,12830
78,13467
79,13853
80,14352
81,14456
82,15082
83,15177
84,15252
85,15257
86,14787
87,14478
88,14175
89,13961
90,13376
91,12858
92,12335
93,12325
94,11925
95,11836
96,11326
97,11242
98,10963
99,10854
100,10470
101,10227
102,10169
103,9831
104,9357
105,9458
106,9099
107,9058
108,8770
109,9054
110,8834
111,9106
112,8746
113,8906
114,8722
115,8807
116,8701
117,8882
118,8788
119,9097
120,8777
121,9257
122,9632
123,10084
124,10266
125,11079
126,11976
127,12815
128,13792
129,15025
130,16389
131,17758
132,19146
133,20788
134,22622
135,24353
136,25876
137,27803
138,29167
139,30561
140,31298
141,32686
142,35056
143,34288
144,35125
145,36549
146,37546
147,37884
148,38498
149,39272
150,38794
151,38695
152,38317
153,38059
154,37247
155,37277
156,36865
157,37282
158,36320
159,38643
160,40602
161,43227
162,46641
163,49236
164,54072
165,58832
166,63475
167,68505
168,73016
169,77653
170,81210
171,84922
172,86046
173,87942
174,86890
175,90156
176,81939
177,77989
178,73406
179,67130
180,60744
181,53464
182,46810
183,40492
184,35266
185,30191
186,25877
187,22132
188,18561
189,16027
190,13979
191,11853
192,10325
193,8791
194,7542
195,6395
196,5271
197,4568
198,3795
199,3250
200,2686
201,2324
202,1981
203,1812
204,1606
205,1438
206,1491
207,1284
208,1239
209,1210
210,1262
211,1207
212,1139
213,1065
214,1076
215,1087
216,1054
217,1047
218,966
219,1004
220,956
221,946
222,873
223,891
224,888
225,922
226,797
227,893
228,794
229,861
230,762
231,809
232,794
233,794
234,727
235,752
236,782
237,763
238,789
239,774
240,751
241,727
242,810
243,767
244,759
245,663
246,717
247,700
248,741
249,732
250,694
251,716
252,719
253,746
254,46865
255,0
